1, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:allay, 5, 1, 1
2, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:bee, 15, 2, 4
3, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:chicken, 25, 2, 4
4, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:cow, 20, 2, 3
5, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:donkey, 5, 1, 2
6, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:horse, 5, 1, 2
7, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:mooshroom, 2, 1, 1
8, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:mule, 5, 1, 1
9, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:pig, 25, 2, 4
10, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:rabbit, 15, 2, 3
11, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:sheep, 25, 2, 4
12, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:wolf, 15, 2, 3
13, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:grizzly_bear, 5, 1, 2
14, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:hummingbird, 15, 2, 3
15, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:raccoon, 10, 2, 3
16, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:crow, 10, 1, 3
17, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:bald_eagle, 5, 1, 2
18, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:bunfungus, 5, 1, 2
19, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:sugar_glider, 10, 2, 3
20, forest, regions_unexplored:alpha_grove, CREATURE, legendarycreatures:forest_mojo, 5, 1, 2
21, forest, regions_unexplored:alpha_grove, CREATURE, legendarycreatures:hound, 150, 1, 2
22, forest, regions_unexplored:alpha_grove, CREATURE, legendarycreatures:wisp, 10, 2, 3
23, forest, regions_unexplored:alpha_grove, CREATURE, iceandfire:pixie, 10, 2, 3
24, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:silverfish, 6, 1, 3
25, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 20, 1, 2
26, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 10, 1, 1
27, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:pillager, 5, 1, 2
28, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 10, 1, 2
29, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 10, 1, 2
30, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 6, 1, 1
31, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 20, 1, 2
32, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
33, forest, regions_unexplored:alpha_grove, MONSTER, mutantmonsters:mutant_zombie, 1, 1, 1
34, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:reaper, 6, 1, 1
35, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:corrupted_pillager, 10, 1, 2
36, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:ghoul, 10, 1, 2
37, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:revenant, 10, 1, 2
38, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:wraith, 6, 1, 1
39, forest, regions_unexplored:alpha_grove, MONSTER, graveyard:nightmare, 4, 1, 1
40, forest, regions_unexplored:alpha_grove, MONSTER, iceandfire:troll, 4, 1, 1
41, forest, regions_unexplored:alpha_grove, MONSTER, mobs_of_mythology:chupacabra, 10, 1, 3
42, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:decaying_zombie, 10, 1, 2
43, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:baby_skeleton, 6, 1, 1
44, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:barrel_zombie, 5, 1, 2
45, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:phantom_creeper, 4, 1, 1
46, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:restless_spirit, 6, 1, 1
47, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bonescaller, 3, 1, 1
48, forest, regions_unexplored:alpha_grove, MONSTER, born_in_chaos_v1:bone_imp, 5, 1, 1
